id,start (sec),end (sec),description,length
A1NKP,11.6,17.6,person eating a bowl of soup.,30.75
EDXBD,9.2,14.0,person walks over to open a door.,12.83
BW5MF,0.0,3.8,person turns on a light.,20.38
UZMMO,20.9,37.0,person sits on the bed to read it.,36.25
UZMMO,17.4,25.1,the person takes a book from a table.,36.25
UZMMO,22.5,37.0,the person sat down to read a book.,36.25
CHBAS,6.4,13.2,the person throws their clothes in a pantry.,30.08
CHBAS,0.0,7.4,a person is in a bathroom doorway undressing.,30.08
M2F66,17.1,23.0,person they close the door to the laundry room.,48.33
M2F66,17.1,23.0,person closes the door.,48.33
M2F66,0.0,23.5,the person puts detergent on the clothes.,48.33
M2F66,0.0,23.5,a person is putting clothes in the washing machine.,48.33
M2F66,9.6,24.5,person starts washing a load of clothes.,48.33
M2F66,17.1,23.0,person they close the washer door.,48.33
KMZHU,3.6,11.0,person pouring a glass of water.,21.88
0CG15,9.1,14.3,a person is sneezing.,33.08
0CG15,22.8,29.7,person he opens a cabinet.,33.08
0CG15,25.8,33.3,person closing a cabinet.,33.08
9XXJ7,2.0,8.2,a person is sneezing.,30.75
9XXJ7,0.6,6.8,person closes a door.,30.75
HKBKA,11.9,24.9,person lies on a bed.,30.08
N39RU,0.0,7.3,person get up from their seats.,30.33
E0MK4,5.3,13.8,person take a book out their bag.,17.25
ECMQU,19.8,25.6,person drinks out of a glass.,29.75
ECMQU,0.0,6.5,a smiling person is dressing in their basement.,29.75
ECMQU,0.0,14.0,person putting on clothes.,29.75
M6LFI,1.0,8.0,a person is undressing in front of a mirror.,14.0
M6LFI,4.0,9.5,person opening a sandwich in a bag.,14.0
618HP,0.0,3.5,person sitting on chair jumps up turns off light.,29.54
618HP,15.2,21.2,person the stand up.,29.54
618HP,0.0,3.5,person turn off the light.,29.54
UVEPN,10.8,17.0,person drinking a cup of coffee.,23.46
Q8HQM,3.3,10.6,person the other one keeps sneezing.,24.75
GJJA1,0.0,8.0,person plays with a phone.,32.42
GJJA1,0.0,8.0,person start playing with their phone.,32.42
GJJA1,0.0,12.2,a person holds a pillow.,32.42
HMSM8,14.3,24.8,person opens a window.,31.0
HMSM8,14.3,24.8,the person opens the window.,31.0
HMSM8,14.3,24.8,person they open the window.,31.0
3P8NL,0.0,3.4,person sitting at a table.,31.25
3P8NL,0.0,3.1,a person sits in a chair.,31.25
3P8NL,0.0,10.3,person takes out the cards from the box.,31.25
VSS68,1.1,8.3,a person put groceries in the cabinet in the kitchen.,28.5
VSS68,0.7,6.1,the person was opening the cabinet.,28.5
P4DL9,0.0,7.2,person closes the refrigerator door.,32.42
P4DL9,9.2,18.1,person starts cooking at the stove.,32.42
P4DL9,9.2,18.1,person starts cooking with a pan.,32.42
P4DL9,0.0,7.2,one person closes the refrigerator.,32.42
5TLQE,16.9,22.9,person start to close the book.,25.0
5TLQE,16.9,22.9,person closes the book.,25.0
LTJEO,19.0,32.0,the person places the pair of shoes on the dresser.,30.88
LTJEO,19.0,32.0,person starts dressing.,30.88
LTJEO,0.0,8.2,the person is smiling.,30.88
LTJEO,0.0,8.2,a smiling person is opening the wardrobe door.,30.88
LTJEO,11.2,19.0,person takes out some clothes.,30.88
GIIMN,9.8,23.2,person eating in the bathroom.,31.33
CBVUS,0.1,7.5,a person is sneezing in the pillow.,32.79
CBVUS,0.1,7.5,a person is sneezing.,32.79
DPJH4,5.2,12.7,person opens a cabinet.,26.62
DPJH4,14.8,21.9,the person takes a can of food from a shelf.,26.62
W0RSP,1.2,6.9,a person awakening in their bedroom.,13.88
IH3GN,0.0,5.2,a person is walking through a doorway holding a towel.,30.46
VG94P,18.0,33.0,when they start laughing at something another person said.,32.12
VG94P,18.0,33.0,person they both laugh.,32.12
92TUQ,5.0,11.0,person takes off shoes.,26.21
92TUQ,5.0,11.0,a person holding a bag takes off their shoes.,26.21
YEHFQ,8.1,22.6,a person enters the front door holding a bag.,30.67
YEHFQ,20.7,32.0,person eating a sandwich.,30.67
YEHFQ,20.7,32.0,the person starts eating something.,30.67
1E1VE,3.7,12.5,a person enters holding a towel.,19.12
813XE,0.0,6.3,a person is holding a camera.,13.42
813XE,6.0,11.0,person open a door.,13.42
813XE,0.0,4.0,a person opens a cabinet in a living room.,13.42
813XE,1.0,6.0,person they put the camera in a cabinet.,13.42
U896B,0.0,5.3,person undressing beside the chair next to the light.,33.25
ZS1P1,24.6,35.2,a person works on a laptop.,39.88
ZS1P1,31.8,37.8,person occasionally looking at an opened book.,39.88
ZS1P1,24.6,35.2,one person sits working on a laptop laughing.,39.88
FIJ3D,0.0,5.3,a person takes a book off of a shelf.,29.79
FIJ3D,18.1,22.9,the person puts the book down.,29.79
FIJ3D,0.0,5.3,"a person takes a book off of a shelf,turns.",29.79
FIJ3D,19.0,26.7,person opens a laptop.,29.79
FIJ3D,23.6,31.0,person plays with a laptop.,29.79
FIJ3D,1.4,11.1,a person opens a book.,29.79
0G2SC,9.5,18.8,person #1 smiled as person #2 walked through the doorway.,30.75
TANH9,12.4,22.6,another person is smiling at food.,32.38
WZN0I,1.9,7.7,person throwing them on the floor.,31.0
WZN0I,1.3,8.2,a person throws a pillow through the doorway.,31.0
WZN0I,0.0,5.7,a person holding a pillow throws it on the floor.,31.0
1LARL,3.6,10.2,the person takes a sandwich.,30.46
MMFXQ,4.3,9.4,person puts them on a shelf in a cabinet.,15.33
MMFXQ,1.1,6.4,person begins sneezing.,15.33
9INKU,4.0,15.7,a person is running back.,30.08
0S9KN,12.7,16.8,person throws the pillow onto the floor.,19.17
4UYGY,8.1,19.3,person they awaken.,29.96
4UYGY,17.5,22.7,person takes a phone off a shelf.,29.96
4UYGY,8.1,19.3,one person awakens.,29.96
4UYGY,8.1,19.3,a person awakens on a bed.,29.96
QUGSS,2.1,11.2,person eating a sandwich.,32.71
WEYV3,0.0,5.5,a person is seen eating a sandwich at their desk.,29.25
WEYV3,0.0,3.9,a person is eating.,29.25
WEYV3,0.0,3.9,person eating a snack.,29.25
WEYV3,0.0,12.5,person playing on their laptop.,29.25
WEYV3,18.8,30.0,person talking on their phone.,29.25
V6IIE,20.7,31.0,person they later sit on a chair.,30.12
V6IIE,14.7,21.7,a person undresses in the bedroom doorway.,30.12
V6IIE,20.7,31.0,person sits down on a chair.,30.12
V6IIE,0.0,14.0,person smiling at each other.,30.12
V6IIE,20.7,31.0,another person sits in a chair.,30.12
ZHOP3,2.5,11.1,one person takes a blanket from a cabinet.,31.92
ZHOP3,2.5,11.1,person takes out a blanket from a cabinet.,31.92
1G9R7,2.7,12.6,the person pours a drink into a cup.,33.58
HPAYB,5.2,12.7,a person takes some clothes out of a bin.,38.75
SKLEN,4.8,15.0,person they put the cleaner back on the shelf.,30.79
SKLEN,13.1,21.4,person the tidying a shelf in the garage.,30.79
SKLEN,4.8,15.0,person puts the stuff back on the shelf.,30.79
L347E,28.3,33.8,person vegins to throw a broom on the floor.,34.17
B5YYS,5.5,15.5,person undresses quickly.,31.08
2074D,3.3,11.2,the person turns the light on.,22.67
2074D,3.3,11.2,person flips on a light switch.,22.67
9PAQ4,11.9,16.7,the person takes off their shoes.,19.08
9PAQ4,11.9,16.7,person take off their shoes.,19.08
9PAQ4,11.9,16.7,person take their shoes off.,19.08
6AJX0,1.1,6.5,a person opens a door.,20.0
6AJX0,7.8,13.2,person closes the door back.,20.0
6AJX0,7.8,13.2,person close the door of the pantry.,20.0
ACMHK,16.0,23.0,person fix their hair.,32.0
TQGPM,21.5,27.4,person puts it on the dining room table.,30.88
AK9IB,21.1,29.0,the person takes their shoes off.,34.29
UQW95,1.4,11.7,a person is cooking on the stove.,21.88
UQW95,8.0,15.8,person the open a box of food.,21.88
UQW95,8.0,15.8,person they open a box.,21.88
UQW95,1.4,11.7,person pour it in the pot they are cooking with.,21.88
UQW95,1.4,11.7,a person is cooking at the stove.,21.88
BTW1H,15.0,29.0,person watches a car through the window.,30.88
BTW1H,2.8,10.7,a person takes a vacuum to the entryway.,30.88
OE751,12.0,23.4,person is talking on the phone.,33.17
OE751,12.0,23.4,person talking on the phone.,33.17
OE751,21.1,34.0,person closing the door behind them.,33.17
Q3HZI,8.6,17.7,carries through a door to the outside/ the person opens.,30.75
Q3HZI,0.0,3.7,a person takes a pillow off a sofa.,30.75
4P13T,0.0,3.6,one person runs through.,31.08
4P13T,0.0,4.8,person takes a bag.,31.08
4P13T,0.0,3.6,person runs out the front door.,31.08
4P13T,0.0,3.6,a person runs into a living room.,31.08
VD6P1,7.0,13.1,person fixes his hair.,25.38
NYDRK,10.6,15.9,person throw a book down the stairs too.,27.92
P2DV7,11.6,17.4,person takes a picture of something on a shelf.,17.25
TAZGF,4.5,10.5,person put the plate on a table.,12.04
TAZGF,7.3,13.0,person sit down on a sofa.,12.04
TAZGF,7.3,13.0,person they sit on the couch.,12.04
1L376,8.8,14.8,a person is dressing.,26.83
MJX48,6.2,15.3,a person puts a pair of shoes into a bag.,30.25
MJX48,18.5,23.5,person throws the bag up the stairs.,30.25
MJX48,18.5,23.5,person he throws the bag as well.,30.25
BD0S7,0.0,3.4,second person takes a picture.,27.71
K2BY7,0.0,5.0,a person is putting on clothes.,32.0
0AGCS,17.6,22.5,the person throws the blanket on a chair.,27.33
BRLC0,13.5,19.2,another person eating sandwich.,28.42
U7RVS,0.0,7.9,person takes a drink from a cup.,23.5
U7RVS,0.0,7.9,person drinking a cup of coffee.,23.5
U7RVS,7.2,13.9,the person places the cup on a laptop computer.,23.5
QEQJ3,15.1,24.3,person close the door.,30.54
QEQJ3,2.4,9.3,a person is playing with their phone.,30.54
QEQJ3,15.1,24.3,person closes the doorknob.,30.54
GUCB4,25.9,39.3,the person drinks the glass of water.,48.08
GUCB4,8.8,26.5,the person pours water into a glass.,48.08
GUCB4,8.8,26.5,person they pour something into a glass.,48.08
GUCB4,8.8,26.5,a person pours water into a glass.,48.08
YW5C4,4.0,9.6,person closing their cabinet.,26.17
YW5C4,18.0,24.0,person they start to take some medicine with a spoon.,26.17
YW5C4,18.2,25.9,person eats it.,26.17
YW5C4,5.1,11.9,a person is sneezing.,26.17
2MJ72,11.0,17.0,person close the door to their bedroom.,30.25
2MJ72,11.0,17.0,person they close the door.,30.25
EN80R,0.0,4.0,a person is cooking on a stove.,26.46
EN80R,0.0,4.0,a person is cooking at a stove.,26.46
EN80R,9.6,20.4,person take some medicine off a shelf.,26.46
PLGZM,0.0,3.2,a person is watching television.,30.67
PLGZM,2.5,8.1,a person takes a camera from the shelf.,30.67
3MWAY,0.0,11.5,person holding a cup.,34.5
3MWAY,21.1,32.1,person pours it into the cup.,34.5
3MWAY,7.8,14.3,the person opens the refrigerator.,34.5
30TL5,7.7,15.4,a person is sitting on a toilet reading a book.,33.5
WSZSL,12.8,22.9,person opens a window.,28.21
WSZSL,12.8,22.9,the person opens the window.,28.21
54XD1,27.8,31.0,person turn off the light.,30.08
54XD1,21.4,27.2,person runs out of the room through the doorway.,30.08
54XD1,21.4,27.2,person but leaves it there to run across the room.,30.08
54XD1,27.8,31.0,person turns off the light.,30.08
54XD1,27.8,31.0,person turning off all the lights.,30.08
KZK6W,8.7,23.8,a person stands at a stove cooking some food.,35.46
KZK6W,0.0,6.3,person drinks from a glass of water.,35.46
KZK6W,8.7,23.8,a person is cooking food on the stove.,35.46
KZK6W,14.7,30.4,person they take a glass of water from the counter.,35.46
6FUDS,9.7,17.0,a person opens the blinds for a window.,32.5
6FUDS,17.7,33.7,person continue eating some food out of a bowl.,32.5
6FUDS,17.7,33.7,the person sits down to eat some food.,32.5
6FUDS,9.7,17.0,a person is opening the blinds to their window.,32.5
QNUIU,16.6,31.0,person throws it on the floor.,30.21
QNUIU,16.6,31.0,person throw the homework on the floor.,30.21
5GPOJ,9.6,14.7,the person puts the book down.,25.21
5GPOJ,9.6,14.7,person they put the book down.,25.21
CDIW7,6.6,13.5,person puts a box in front of a door.,20.29
GLGQJ,0.0,17.6,a person is seen washing a window in their room.,39.46
GLGQJ,21.1,29.3,person closes the window.,39.46
GLGQJ,21.1,29.3,person they start closing the window.,39.46
GLGQJ,0.0,17.6,a person washing a window with a cloth.,39.46
7XVS7,5.1,18.9,a person is pouring coffee in to a glass.,39.12
7XVS7,5.1,18.9,person pour the coffee into a cup.,39.12
7XVS7,5.1,18.9,person they pour themselves a cup of coffee.,39.12
ESAIY,17.3,29.5,person they fix their hair.,35.62
ESAIY,17.3,29.5,person they start fixing their hair.,35.62
ESAIY,0.7,11.6,person they take the medicine with a glass of water.,35.62
XFLQH,21.0,26.0,person opens a box next to the bed.,34.88
XFLQH,26.0,36.0,person puts them on the shelf.,34.88
XFLQH,26.0,36.0,person they take some items out of the box.,34.88
XFLQH,26.0,36.0,the first person puts something on a shelf.,34.88
JXF3M,11.3,20.5,person they awaken.,34.58
JUINA,0.0,5.9,person is standing on chair putting dishes on shelf.,32.38
JUINA,3.2,15.0,person puts dishes on a shelf.,32.38
TKFY2,10.7,17.2,the person eats a bite of sandwich.,31.38
E6TED,22.0,31.0,another person drinks a glass of water.,30.42
7FNZZ,20.4,29.5,person puts it on the table.,29.75
T3FJH,0.0,4.2,a person drinks from a wine glass.,30.92
T3FJH,0.0,4.2,person is drinking out of a glass.,30.92
ED6VQ,6.8,13.0,person they put the cup on a shelf.,24.38
87T5P,25.6,32.0,person sit on a couch.,30.75
87T5P,23.7,32.0,person watching television.,30.75
2544C,11.0,45.0,person putting items onto the shelf.,81.08
2544C,75.9,82.0,a person walks through a doorway folding a towel.,81.08
2544C,11.0,45.0,the person puts the towel on a shelf.,81.08
2544C,3.7,15.4,a person throws a towel in their home office.,81.08
EE8OB,14.8,21.0,person eats the sandwich.,20.29
EE8OB,14.8,21.0,a woman walking in a house with a sandwich eating.,20.29
TLBWW,1.3,15.3,a person is walking through a doorway.,29.5
TLBWW,13.2,27.0,person throws a towel.,29.5
9HIE0,0.0,8.5,a person is cooking food on the stove.,30.67
9HIE0,16.7,25.7,another person is smiling as they enter the room.,30.67
9HIE0,0.0,8.5,a person is cooking something on a stove.,30.67
04LAX,13.9,22.7,person pours it into a glass.,27.21
04LAX,20.2,27.3,person drinks from the glass.,27.21
UDDTR,37.5,51.1,person beginning to dress themselves.,53.33
UDDTR,6.5,13.2,person starts putting on clothes.,53.33
XOFEX,12.0,17.2,person they put it down on the table.,29.79
KZODG,15.3,22.9,person they close the laptop.,31.33
KZODG,16.8,32.0,person begin playing a game on the phone's touchscreen.,31.33
KZODG,15.3,22.9,the person closes a laptop on the coffee table.,31.33
I20N2,0.0,7.8,a person is running.,32.83
I20N2,26.6,33.1,person throws it on a clothesline.,32.83
I20N2,0.0,7.8,a person is running toward the window.,32.83
F9K8L,0.3,5.8,a person runs into the kitchen.,30.62
F9K8L,2.1,7.2,person puts a pair of shoes on a chair.,30.62
F9K8L,6.7,14.1,person he opens a window screen.,30.62
F9K8L,0.3,5.8,a person runs into his kitchen.,30.62
KO80I,18.0,23.1,person putting a pillow behind the back.,32.0
1CITG,4.6,10.6,person turns on the light.,30.79
54VBR,16.3,23.8,person sits in a chair at the table.,28.75
54VBR,16.3,23.8,a person is sitting at a table eating a sandwich.,28.75
54VBR,16.3,23.8,person sits down at the table.,28.75
54VBR,16.3,23.8,a person is sitting at the table eating a sandwich.,28.75
54VBR,13.0,18.7,person takes a drink from a glass.,28.75
3OUXT,13.3,21.1,person opens a cabinet.,50.17
TETZ7,7.0,12.6,person laughs as they leave through the doorway.,22.79
L5842,18.2,26.3,person eating food placed on a shelf.,31.5
L5842,8.1,17.8,a person puts a pillow on a shelf.,31.5
L5842,18.2,26.3,person eats some food.,31.5
WNKL6,20.8,28.0,person eating from a bag of food.,27.25
WNKL6,20.8,28.0,a person is seen eating food in a bag.,27.25
WNKL6,0.0,10.7,the person laughs.,27.25
P8ZU6,10.3,18.4,person takes off their shoes.,30.33
DPBI3,12.0,18.7,a person is laughing.,29.46
Y1FKP,20.7,32.0,person look out the window.,31.25
Y1FKP,20.7,32.0,person looks out the window.,31.25
Y1FKP,21.9,32.0,person laugh softly.,31.25
Y1FKP,20.7,32.0,the person laughs as they look out the window.,31.25
NDYOR,17.6,23.9,the person takes their phone from the floor.,31.54
CX5ZM,16.0,24.6,person start cooking something on the stove.,27.33
0LNLR,1.9,13.9,person sits on a sofa.,29.62
OHQOO,1.7,10.2,person looking out the window.,30.92
OHQOO,6.8,12.2,a person is holding a box of shoes.,30.92
OHQOO,16.1,22.1,person start laughing.,30.92
Z60TB,5.3,10.8,person sneezing into the phone in the dining room.,14.33
8VWV2,52.5,58.3,person they begin putting their dishes away in the sink.,59.17
8VWV2,0.0,23.6,a person is seen eating food at a table.,59.17
8VWV2,0.0,23.6,person another eats on the floor.,59.17
UPJWV,9.7,19.2,a person is cooking on a stove.,34.33
UPJWV,9.7,19.2,a person is cooking food on the stove.,34.33
UPJWV,24.0,29.4,person runs out.,34.33
UPJWV,24.0,29.4,person run out of the kitchen.,34.33
UPJWV,19.5,24.9,person they turn off the light.,34.33
ZF5CP,14.2,21.1,the person closes the closet door.,26.12
ZF5CP,0.0,5.7,a person opens a closet.,26.12
P7RQS,0.0,4.5,a person is sitting at the table.,31.54
P7RQS,1.8,7.1,another person is at the refrigerator laughing.,31.54
VS7DA,2.0,10.8,person open door.,39.75
VS7DA,12.7,18.1,person turns the light on.,39.75
VS7DA,12.7,18.1,person turns on the light.,39.75
VS7DA,12.7,18.1,person turns light on grabs something from self.,39.75
VS7DA,30.6,38.2,person close the door.,39.75
VS7DA,2.0,10.8,person opens the door to the pantry.,39.75
72HTA,0.0,11.0,person they take clothes off a table.,30.04
72HTA,0.0,11.0,the person takes off clothes.,30.04
72HTA,1.0,12.5,a person in a basement begins undressing.,30.04
72HTA,4.8,11.6,the person puts clothes in washing machine.,30.04
5QJNP,26.5,32.8,person began to drink from a glass.,38.21
1K0SU,14.9,23.0,person drinking a glass of water.,31.25
1K0SU,4.4,9.4,person turns on the light.,31.25
3QGLU,29.4,35.0,person closes the refrigerator.,33.5
3QGLU,2.9,9.7,person opens the refrigerator door.,33.5
3QGLU,28.9,33.5,person puts his phone back in his pocket.,33.5
7WG7A,21.0,26.0,person turns off the light.,30.92
7WG7A,21.0,26.0,person turning off a light.,30.92
YKVYR,9.1,15.1,person takes the garbage page.,26.5
YKVYR,9.1,15.1,person takes the bag outside.,26.5
WEU2E,26.4,31.0,person they start laughing.,30.12
WEU2E,14.3,23.4,a person is smiling.,30.12
WEU2E,10.7,17.8,person puts the box on top of a dresser.,30.12
WEU2E,26.4,31.0,person begins to laugh.,30.12
7SXQS,1.0,7.0,person closes blinds at a window.,31.04
7SXQS,1.0,7.0,a person is closing the window in the dining room.,31.04
7SXQS,1.0,7.0,person closes the shutters of the window behind the table.,31.04
7SXQS,18.2,32.0,person seen snuggling up with a blanket.,31.04
PZQ5A,8.6,16.8,person closed the door behind them.,24.38
PZQ5A,4.6,10.3,person takes their camera that was at a desk.,24.38
77HDM,12.0,16.3,person turning off the light behind them.,17.25
64F1C,22.6,27.7,the person is throwing a blanket on the floor.,30.0
64F1C,22.3,27.4,person throwing towels on the floor.,30.0
V2JOF,11.5,26.5,person putting the blanket on a shelf.,35.0
V2JOF,2.6,8.8,person turns on a light.,35.0
MZGMN,0.0,7.8,a person opens a box on the floor.,25.71
MZGMN,5.5,13.7,person throws a book into it.,25.71
MZGMN,8.6,14.0,person closes the box.,25.71
MZGMN,0.0,7.8,a person opens up a box.,25.71
MZGMN,18.9,27.0,person closing the door behind them.,25.71
MZGMN,18.9,27.0,person closes a door.,25.71
MZGMN,5.5,13.7,person throws a book into the box.,25.71
O7OD2,4.4,10.9,a person is holding a medicine bottle.,29.0
O7OD2,4.4,10.9,a person is holding a bottle of medicine.,29.0
O7OD2,8.0,16.1,person eating a sandwich.,29.0
4878H,0.0,5.7,person snuggling a pillow.,22.5
4878H,0.0,5.7,a person snuggles a pillow.,22.5
8NS1G,24.7,31.0,person eat a sandwich.,31.12
8NS1G,15.3,25.5,person they pour a glass of milk.,31.12
WF3NY,16.0,23.0,person opening the cabinet.,31.04
WF3NY,16.0,23.0,person opens the closet.,31.04
NC1OC,17.6,27.9,person sits down on the couch.,47.83
NC1OC,17.6,27.9,person sit down on the sofa.,47.83
NC1OC,27.2,49.0,person begins to work on it at the coffee table.,47.83
NC1OC,15.7,25.5,person they put their homework on a side table.,47.83
S1N2U,5.3,13.3,a person lying in a bed awakens.,33.04
S1N2U,12.4,16.7,person grasps for a light on a nightstand.,33.04
